id;Acer_campestre;Vulpia_myuros
L_1_01_2018;0;0
L_1_01_2020;0;0
L_1_02_2018;0;0
L_1_02_2020;0;0
L_1_03_2018;0;0
L_1_03_2020;0;0
L_1_04_2018;0;0
L_1_04_2020;0;0
L_1_05_2018;0;0
L_1_05_2020;0;0
L_1_06_2018;0;0
L_1_06_2020;0;0
L_1_07_2018;0;0
L_1_07_2020;0;0
L_1_08_2018;0;0
L_1_08_2020;0;0
L_1_09_2018;0;0
L_1_09_2020;0;0
L_1_10_2018;0;0
L_1_10_2020;0;0
L_1_11_2018;0;0
L_1_11_2020;0;0
L_1_12_2018;0;0
L_1_12_2020;0;0
L_1_13_2018;0;0
L_1_13_2020;0;0
L_1_14_2018;0;0
L_1_14_2020;0;0
L_1_15_2018;0;0
L_1_15_2020;0;0
L_1_16_2018;0;0
L_1_16_2020;0;0
L_1_17_2018;0;0
L_1_17_2020;0;0
L_1_18_2018;0;0
L_1_18_2020;0;0
L_1_19_2018;0;0
L_1_19_2020;0;0
L_1_20_2018;0;0
L_1_20_2020;0;0
L_1_21_2018;0;0
L_1_21_2020;0;0
L_1_22_2018;0;0
L_1_22_2020;0;0
L_1_23_2018;0;0
L_1_23_2020;0;0
L_1_24_2018;0;0
L_1_24_2020;0;0
L_2_01_2018;0;0
L_2_01_2020;0;0
L_2_02_2018;0;0
L_2_02_2020;0;0
L_2_03_2018;0;0
L_2_03_2020;0;0
L_2_04_2018;0;0
L_2_04_2020;0;0
L_2_05_2018;0;0
L_2_05_2020;0;0
L_2_06_2018;0;0
L_2_06_2020;0;0
L_2_07_2018;0;0
L_2_07_2020;0;0
L_2_08_2018;0;0
L_2_08_2020;0;0
L_2_09_2018;0;0
L_2_09_2020;0;0
L_2_10_2018;0;0
L_2_10_2020;0;0
L_2_11_2018;0;0
L_2_11_2020;0;0
L_2_12_2018;0;0
L_2_12_2020;0;0
L_2_13_2018;0;0
L_2_13_2020;0;0
L_2_14_2018;0;0
L_2_14_2020;0;0
L_2_15_2018;0;0
L_2_15_2020;0;0
L_2_16_2018;0;0
L_2_16_2020;0;0
L_2_17_2018;0;0
L_2_17_2020;0;0
L_2_18_2018;0;0
L_2_18_2020;0;0
L_2_19_2018;0;0
L_2_19_2020;0;0
L_2_20_2018;0;0
L_2_20_2020;0;0
L_2_21_2018;0;0
L_2_21_2020;0;0
L_2_22_2018;0;0
L_2_22_2020;0;0
L_2_23_2018;0;0
L_2_23_2020;0;0
L_2_24_2018;0;0
L_2_24_2020;0;0
L_3_01_2018;0;0
L_3_01_2020;0;0
L_3_02_2018;0;0
L_3_02_2020;0;0
L_3_03_2018;0;0
L_3_03_2020;0;0
L_3_04_2018;0;0
L_3_04_2020;0;0
L_3_05_2018;0;0
L_3_05_2020;0;0
L_3_06_2018;0;0
L_3_06_2020;0;0
L_3_07_2018;0;0
L_3_07_2020;0;0
L_3_08_2018;0;0
L_3_08_2020;0;0
L_3_09_2018;0;0
L_3_09_2020;0;0
L_3_10_2018;0;0
L_3_10_2020;0;0
L_3_11_2018;0;0
L_3_11_2020;0;0
L_3_12_2018;0;0
L_3_12_2020;0;0
L_3_13_2018;0;0
L_3_13_2020;0;0
L_3_14_2018;0;0
L_3_14_2020;0;0
L_3_15_2018;0;0
L_3_15_2020;0;0
L_3_16_2018;0;0
L_3_16_2020;0;0
L_3_17_2018;0;0
L_3_17_2020;0;0
L_3_18_2018;0;0
L_3_18_2020;0;0
L_3_19_2018;0;0
L_3_19_2020;0;0
L_3_20_2018;0;0
L_3_20_2020;0;0
L_3_21_2018;0;0
L_3_21_2020;0;0
L_3_22_2018;0;0
L_3_22_2020;0;0
L_3_23_2018;0;0
L_3_23_2020;0;0
L_3_24_2018;0;0
L_3_24_2020;0;0
L_4_01_2018;0;0
L_4_01_2020;0;0
L_4_02_2018;0;0
L_4_02_2020;0;0
L_4_03_2018;0;0
L_4_03_2020;0;0
L_4_04_2018;0;0
L_4_04_2020;0;0
L_4_05_2018;0;0
L_4_05_2020;0;0
L_4_06_2018;0;0
L_4_06_2020;0;0
L_4_07_2018;0;0
L_4_07_2020;0;0
L_4_08_2018;0;0
L_4_08_2020;0;0
L_4_09_2018;0;0
L_4_09_2020;0;0
L_4_10_2018;0;0
L_4_10_2020;0;0
L_4_11_2018;0;0
L_4_11_2020;0;0
L_4_12_2018;0;0
L_4_12_2020;0;0
L_4_13_2018;0;0
L_4_13_2020;0;0
L_4_14_2018;0;0
L_4_14_2020;0;0
L_4_15_2018;0;0
L_4_15_2020;0;0
L_4_16_2018;0;0
L_4_16_2020;0;0
L_4_17_2018;0;0
L_4_17_2020;0;0
L_4_18_2018;0;0
L_4_18_2020;0;0
L_4_19_2018;0;0
L_4_19_2020;0;0
L_4_20_2018;0;0
L_4_20_2020;0;0
L_4_21_2018;0;0
L_4_21_2020;0;0
L_4_22_2018;0;0
L_4_22_2020;0;0
L_4_23_2018;0;0
L_4_23_2020;0;0
L_4_24_2018;0;0
L_4_24_2020;0;0
L_5_01_2018;0;0
L_5_01_2020;0;0
L_5_02_2018;0;0
L_5_02_2020;0;0
L_5_03_2018;0;0
L_5_03_2020;0;0
L_5_04_2018;0;0
L_5_04_2020;0;0
L_5_05_2018;0;0
L_5_05_2020;0;0
L_5_06_2018;0;0
L_5_06_2020;0;0
L_5_07_2018;0;0
L_5_07_2020;0;0
L_5_08_2018;0;0
L_5_08_2020;0;0
L_5_09_2018;0;0
L_5_09_2020;0;0
L_5_10_2018;0;0
L_5_10_2020;0;0
L_5_11_2018;0;0
L_5_11_2020;0;0
L_5_12_2018;0;0
L_5_12_2020;0;0
L_5_13_2018;0;0
L_5_13_2020;0;0
L_5_14_2018;0;0
L_5_14_2020;0;0
L_5_15_2018;0;0
L_5_15_2020;0;0
L_5_16_2018;0;0
L_5_16_2020;0;0
L_5_17_2018;0;0
L_5_17_2020;0;0
L_5_18_2018;0;0
L_5_18_2020;0;0
L_5_19_2018;0;0
L_5_19_2020;0;0
L_5_20_2018;0;0
L_5_20_2020;0;0
L_5_21_2018;0;0
L_5_21_2020;0;0
L_5_22_2018;0;0
L_5_22_2020;0;0
L_5_23_2018;0;0
L_5_23_2020;0;0
L_5_24_2018;0;0
L_5_24_2020;0;0
L_6_01_2018;0;0
L_6_01_2020;0;0
L_6_02_2018;0;0
L_6_02_2020;0;0
L_6_03_2018;0;0
L_6_03_2020;0;0
L_6_04_2018;0;0
L_6_04_2020;0;0
L_6_05_2018;0;0
L_6_05_2020;0;0
L_6_06_2018;0;0
L_6_06_2020;0;0
L_6_07_2018;0;0
L_6_07_2020;0;0
L_6_08_2018;0;0
L_6_08_2020;0;0
L_6_09_2018;0;0
L_6_09_2020;0;0
L_6_10_2018;0;0
L_6_10_2020;0;0
L_6_11_2018;0;0
L_6_11_2020;0;0
L_6_12_2018;0;0
L_6_12_2020;0;0
L_6_13_2018;0;0
L_6_13_2020;0;0
L_6_14_2018;0;0
L_6_14_2020;0;0
L_6_15_2018;0;0
L_6_15_2020;0;0
L_6_16_2018;0;0
L_6_16_2020;0;0
L_6_17_2018;0;0
L_6_17_2020;0;0
L_6_18_2018;0;0
L_6_18_2020;0;0
L_6_19_2018;0;0
L_6_19_2020;0;0
L_6_20_2018;0;0
L_6_20_2020;0;0
L_6_21_2018;0;0
L_6_21_2020;0;0
L_6_22_2018;0;0
L_6_22_2020;0;0
L_6_23_2018;0;0
L_6_23_2020;0;0
L_6_24_2018;0;0
L_6_24_2020;0;0
W_1_01_2018;0;0
W_1_01_2020;0;0
W_1_02_2018;0;0
W_1_02_2020;0;0
W_1_03_2018;0;0
W_1_03_2020;0;0
W_1_04_2018;0;0
W_1_04_2020;0;0
W_1_05_2018;0;0
W_1_05_2020;0;0
W_1_06_2018;0;0
W_1_06_2020;0;0
W_1_07_2018;0;0
W_1_07_2020;1;0
W_1_08_2018;0;0
W_1_08_2020;0;0
W_1_09_2018;0;0
W_1_09_2020;0;0
W_1_10_2018;0;0
W_1_10_2020;0;0
W_1_11_2018;0;0
W_1_11_2020;0;0
W_1_12_2018;0;0
W_1_12_2020;0;0
W_1_13_2018;0;0
W_1_13_2020;0;0
W_1_14_2018;0;0
W_1_14_2020;0;0
W_1_15_2018;0;0
W_1_15_2020;0;0
W_1_16_2018;0;0
W_1_16_2020;0;0
W_1_17_2018;0;0
W_1_17_2020;0;0
W_1_18_2018;0;0
W_1_18_2020;0;0
W_1_19_2018;0;0
W_1_19_2020;0;0
W_1_20_2018;0;0
W_1_20_2020;0;0
W_1_21_2018;0;0
W_1_21_2020;0;0
W_1_22_2018;0;0
W_1_22_2020;0;0
W_1_23_2018;0;0
W_1_23_2020;0;0
W_1_24_2018;0;0
W_1_24_2020;0;0
W_2_01_2018;0;0
W_2_01_2020;0;0
W_2_02_2018;0;0
W_2_02_2020;0;0
W_2_03_2018;0;0
W_2_03_2020;0;0
W_2_04_2018;0;0
W_2_04_2020;0;0
W_2_05_2018;0;0
W_2_05_2020;0;0
W_2_06_2018;0;0
W_2_06_2020;0;0
W_2_07_2018;0;0
W_2_07_2020;0;0
W_2_08_2018;0;0
W_2_08_2020;0;0
W_2_09_2018;0;0
W_2_09_2020;0;1
W_2_10_2018;0;0
W_2_10_2020;0;0
W_2_11_2018;0;0
W_2_11_2020;0;0
W_2_12_2018;0;0
W_2_12_2020;0;0
W_2_13_2018;0;0
W_2_13_2020;0;0
W_2_14_2018;0;0
W_2_14_2020;0;0
W_2_15_2018;0;0
W_2_15_2020;0;0
W_2_16_2018;0;0
W_2_16_2020;0;0
W_2_17_2018;0;0
W_2_17_2020;0;0
W_2_18_2018;0;0
W_2_18_2020;0;0
W_2_19_2018;0;0
W_2_19_2020;0;0
W_2_20_2018;0;0
W_2_20_2020;0;0
W_2_21_2018;0;0
W_2_21_2020;0;0
W_2_22_2018;0;0
W_2_22_2020;0;0
W_2_23_2018;0;0
W_2_23_2020;0;1
W_2_24_2018;0;0
W_2_24_2020;0;0
W_3_01_2018;0;0
W_3_01_2020;0;0
W_3_02_2018;0;0
W_3_02_2020;0;0
W_3_03_2018;0;0
W_3_03_2020;0;0
W_3_04_2018;0;0
W_3_04_2020;0;0
W_3_05_2018;0;0
W_3_05_2020;0;0
W_3_06_2018;0;0
W_3_06_2020;0;0
W_3_07_2018;0;0
W_3_07_2020;1;0
W_3_08_2018;0;0
W_3_08_2020;0;0
W_3_09_2018;0;0
W_3_09_2020;0;0
W_3_10_2018;0;0
W_3_10_2020;0;0
W_3_11_2018;0;0
W_3_11_2020;0;0
W_3_12_2018;0;0
W_3_12_2020;0;0
W_3_13_2018;0;0
W_3_13_2020;0;0
W_3_14_2018;0;0
W_3_14_2020;0;0
W_3_15_2018;0;0
W_3_15_2020;0;0
W_3_16_2018;0;0
W_3_16_2020;0;0
W_3_17_2018;0;0
W_3_17_2020;0;0
W_3_18_2018;0;0
W_3_18_2020;0;0
W_3_19_2018;0;0
W_3_19_2020;0;0
W_3_20_2018;0;0
W_3_20_2020;0;0
W_3_21_2018;0;0
W_3_21_2020;0;0
W_3_22_2018;0;0
W_3_22_2020;0;0
W_3_23_2018;0;0
W_3_23_2020;0;0
W_3_24_2018;0;0
W_3_24_2020;0;0
W_4_01_2018;0;0
W_4_01_2020;0;0
W_4_02_2018;0;0
W_4_02_2020;0;0
W_4_03_2018;0;0
W_4_03_2020;0;0
W_4_04_2018;0;0
W_4_04_2020;0;1
W_4_05_2018;0;0
W_4_05_2020;0;0
W_4_06_2018;0;0
W_4_06_2020;0;0
W_4_07_2018;0;0
W_4_07_2020;0;1
W_4_08_2018;0;0
W_4_08_2020;0;0
W_4_09_2018;0;0
W_4_09_2020;0;0
W_4_10_2018;0;0
W_4_10_2020;0;0
W_4_11_2018;0;0
W_4_11_2020;0;0
W_4_12_2018;0;0
W_4_12_2020;0;1
W_4_13_2018;0;0
W_4_13_2020;0;0
W_4_14_2018;0;0
W_4_14_2020;0;0
W_4_15_2018;0;0
W_4_15_2020;0;0
W_4_16_2018;0;0
W_4_16_2020;0;0
W_4_17_2018;0;0
W_4_17_2020;0;0
W_4_18_2018;0;0
W_4_18_2020;0;0
W_4_19_2018;0;0
W_4_19_2020;0;0
W_4_20_2018;0;0
W_4_20_2020;0;0
W_4_21_2018;0;0
W_4_21_2020;0;0
W_4_22_2018;0;0
W_4_22_2020;0;0
W_4_23_2018;0;0
W_4_23_2020;0;0
W_4_24_2018;0;0
W_4_24_2020;0;0
W_5_01_2018;0;0
